customer_id,name,age,gender,city,income,purchase_count,total_spend,preferred_category,satisfaction
C0001,Customer_0001,42.195744680851064,Male,Bengaluru,48679.0,4.0,8974.34,Grocery,Medium
C0002,Customer_0002,42.195744680851064,Male,Chennai,74933.0,5.0,15593.28,Sports,Medium
C0003,Customer_0003,37.0,Male,Delhi,56395.87368421053,2.0,3359.76,Clothing,Medium
C0004,Customer_0004,42.195744680851064,Female,Chennai,42330.0,5.0,16879.57,Home,Medium
C0005,Customer_0005,37.0,Female,Chennai,45000.0,3.0,3387.22,Home,High
C0006,Customer_0006,39.0,Male,Mumbai,63852.0,4.0,3397.37,Home,Low
C0007,Customer_0007,45.0,Male,Delhi,63828.0,2.0,6482.33,Home,Medium
C0008,Customer_0008,57.0,Female,Delhi,44132.0,4.0,3941.41,Grocery,High
C0009,Customer_0009,24.0,Female,Bengaluru,50788.0,3.0,10434.3,Sports,Medium
C0010,Customer_0010,18.0,Female,Chennai,88243.0,7.0,23581.4,Home,Medium
C0011,Customer_0011,49.0,Female,Bengaluru,44442.0,4.0,4679.83,Electronics,High
C0012,Customer_0012,30.0,Male,Delhi,89394.0,5.0,11257.39,Home,Medium
C0013,Customer_0013,42.195744680851064,Male,Pune,74866.0,4.0,5197.14,Sports,Low
C0014,Customer_0014,40.0,Female,Chennai,86057.0,5.0,9780.09,Home,Medium
C0015,Customer_0015,42.195744680851064,Male,Bengaluru,43677.0,4.0,3863.39,Grocery,Low
C0016,Customer_0016,49.0,Female,Bengaluru,51966.0,6.0,8427.58,Clothing,High
C0017,Customer_0017,47.0,Female,Pune,46915.0,9.0,16027.53,Clothing,Medium
C0018,Customer_0018,46.0,Female,Pune,75282.0,3.0,5953.04,Sports,High
C0019,Customer_0019,62.0,Male,Mumbai,44782.0,8.0,27513.92,Clothing,High
C0020,Customer_0020,46.0,Female,Bengaluru,68162.0,5.0,14906.19,Clothing,Medium
C0021,Customer_0021,47.0,Male,Chennai,67209.0,1.0,2791.01,Electronics,Medium
C0022,Customer_0022,33.0,Female,Hyderabad,54135.0,3.0,6750.03,Sports,Low
C0023,Customer_0023,57.0,Female,Bengaluru,78376.0,5.0,15339.97,Sports,Medium
C0024,Customer_0024,36.0,Male,Mumbai,56938.0,4.0,6864.69,Clothing,Low
C0025,Customer_0025,35.0,Other,Pune,70014.0,6.0,16284.17,Clothing,High
C0026,Customer_0026,42.195744680851064,Female,Chennai,46095.0,5.0,17416.08,Clothing,High
C0027,Customer_0027,31.0,Male,Bengaluru,56395.87368421053,5.0,8247.49,Grocery,Medium
C0028,Customer_0028,64.0,Male,Hyderabad,68161.0,4.0,10479.39,Home,Medium
C0029,Customer_0029,42.195744680851064,Female,Hyderabad,62755.0,9.0,27716.85,Grocery,High
C0030,Customer_0030,45.0,Male,Bengaluru,59380.0,6.0,19636.08,Sports,Medium
C0031,Customer_0031,47.0,Male,Delhi,48814.0,7.0,19168.93,Electronics,High
C0032,Customer_0032,55.0,Female,Mumbai,82886.0,3.0,4697.22,Home,Medium
